€625,000 	 Curraghmore, Belcarra, Castlebar, Co Mayo
AMV €45,000 	 Ballyglass, Kilmovee, Mayo
Reserve Not To Exceed €60,000 	 21 The Bowers, Main Street, Ballinrober, Co. Mayo
€165,000 	 77 Rockwell, Killala Road, Ballina, Mayo
€122,000  -€3,000 on 22nd Oct 19 	 Riverside Drive, Quay Road, Ballina, Co Mayo, F26 X3W6
€375,000 	 The Covert, Farrangarode, Ballina, Co Mayo, F26 V8C3
€70,000 	 Main Street, Ballindine, Mayo
€175,000 	 17  Ashwood Avenue, Westport, Co Mayo, F28 FC86
€1,650,000 	 11 Acres Of Development Land, Attireesh, Westport, Co Mayo
€199,500 	 Liscarney, Westport, Mayo
€169,000 	 74 Lakeview, Castlebar, Mayo
€125,000 	 Derrynacong, Ballyhaunis, Co. Mayo
€55,000 	 Tawnaghmore, Ballyhaunis, Co. Mayo
€69,000 	 Kinaffe, Swinford, Co. Mayo
€195,000 	 Cloggernagh West, Islandeady, Castlebar, Co Mayo, F23 RD43
€160,000 	 No. 5 Rinn Na Shinna, Breaffy Road , Castlebar, Mayo
€120,000 	 Gurrane, Ballyhaunis, Co. Mayo
€75,000 	 81 Boherduff, Claremorris, Mayo
POA 	 Knockmore, Ballina, Mayo
€55,000 	 Newtownwhite, Killala, Co Mayo, F26 V592
€158,500 	 Ballyvary Village, Ballyvary, Castlebar, Mayo
